,name,code
462,원익홀딩스,030530.KQ
463,원풍,008370.KQ
464,웹젠,069080.KQ
465,위닉스,044340.KQ
466,위메이드,112040.KQ
467,위세아이텍,065370.KQ
468,유비벨록스,089850.KQ
469,유비쿼스,264450.KQ
470,유안타제4호스팩,313750.KQ
471,유테크,178780.KQ
472,이건홀딩스,039020.KQ
473,이노와이어리스,073490.KQ
474,이녹스첨단소재,272290.KQ
475,이랜텍,054210.KQ
476,이수앱지스,086890.KQ
477,이엑스티,226360.KQ
478,인성정보,033230.KQ
479,인탑스,049070.KQ
480,인포마크,175140.KQ
481,재영솔루텍,049630.KQ
482,제로투세븐,159580.KQ
483,제이스테판,096690.KQ
484,제이씨현시스템,033320.KQ
485,제이앤티씨,204270.KQ
486,제이티,089790.KQ
487,조이맥스,101730.KQ
488,진매트릭스,109820.KQ
489,진바이오텍,086060.KQ
490,진성티이씨,036890.KQ
491,캠시스,050110.KQ
492,케어젠,214370.KQ
493,케이비제18호스팩,323940.KQ
494,케이피에프,024880.KQ
495,코나아이,052400.KQ
496,코다코,046070.KQ
497,코리아에셋투자증권,190650.KQ
498,코미코,183300.KQ
499,코센,009730.KQ
500,코아시아,045970.KQ
501,코이즈,121850.KQ
502,타이거일렉,219130.KQ
503,탑엔지니어링,065130.KQ
504,태웅로직스,124560.KQ
505,텔콘RF제약,200230.KQ
506,토비스,051360.KQ
507,티씨케이,064760.KQ
508,파라다이스,034230.KQ
509,파멥신,208340.KQ
510,파워넷,037030.KQ
511,팍스넷,038160.KQ
512,프로텍,053610.KQ
513,플레이디,237820.KQ
514,피에스케이,319660.KQ
515,픽셀플러스,087600.KQ
516,필옵틱스,161580.KQ
517,하나금융14호스팩,332710.KQ
518,한국제7호스팩,291210.KQ
519,한국캐피탈,023760.KQ
520,한일네트웍스,046110.KQ
521,헬릭스미스,084990.KQ
522,효성오앤비,097870.KQ
523,휴젤,145020.KQ
524,희림,037440.KQ
525,DSC인베스트먼트,241520.KQ
526,IBKS제7호스팩,276920.KQ
527,MP한강,219550.KQ
528,NHN벅스,104200.KQ
529,SDN,099220.KQ
530,SK4호스팩,307070.KQ
531,SKC 솔믹스,057500.KQ
532,SK머티리얼즈,036490.KQ
533,UCI,038340.KQ
534,WI,073570.KQ
535,가비아,079940.KQ
536,강스템바이오텍,217730.KQ
537,경남스틸,039240.KQ
538,교보7호스팩,267320.KQ
539,국일신동,060480.KQ
540,글로벌텍스프리,204620.KQ
541,글로본,019660.KQ
542,나노,187790.KQ
543,네오위즈홀딩스,042420.KQ
544,넥스트BT,065170.KQ
545,대명코퍼레이션,007720.KQ
546,대성미생물,036480.KQ
547,대신밸런스제7호스팩,332290.KQ
548,대양전기공업,108380.KQ
549,대원,007680.KQ
550,대한과학,131220.KQ
551,대한뉴팜,054670.KQ
552,덕산테코피아,317330.KQ
553,덕산하이메탈,077360.KQ
554,동국산업,005160.KQ
555,동국제약,086450.KQ
556,동방선기,099410.KQ
557,동진쎄미켐,005290.KQ
558,디바이스이엔지,187870.KQ
559,디알젬,263690.KQ
560,디에스티,033430.KQ
561,디엔에이링크,127120.KQ
562,라이브파이낸셜,036170.KQ
563,라이온켐텍,171120.KQ
564,러셀,217500.KQ
565,레이크머티리얼즈,281740.KQ
566,로지시스,067730.KQ
567,린드먼아시아,277070.KQ
568,링네트,042500.KQ
569,마니커에프앤지,195500.KQ
570,마이크로프랜드,147760.KQ
571,메가스터디교육,215200.KQ
572,모베이스전자,012860.KQ
573,민앤지,214180.KQ
574,바른전자,064520.KQ
575,바이온,032980.KQ
576,비에이치아이,083650.KQ
577,삼원테크,073640.KQ
578,상보,027580.KQ
579,새로닉스,042600.KQ
580,서연탑메탈,019770.KQ
581,서울리거,043710.KQ
582,서울반도체,046890.KQ
583,서울전자통신,027040.KQ
584,서원인텍,093920.KQ
585,선데이토즈,123420.KQ
586,성호전자,043260.KQ
587,세원,234100.KQ
588,셀트리온제약,068760.KQ
589,슈프리마에이치큐,094840.KQ
590,스킨앤스킨,159910.KQ
591,스타플렉스,115570.KQ
592,스튜디오드래곤,253450.KQ
593,신원종합개발,017000.KQ
594,신흥에스이씨,243840.KQ
595,씨앤지하이테크,264660.KQ
596,아리온,058220.KQ
597,아세아텍,050860.KQ
598,아스타,246720.KQ
599,아스트,067390.KQ
600,아우딘퓨쳐스,227610.KQ
601,아이엘사이언스,307180.KQ
602,아이엠텍,226350.KQ
603,아이즈비전,031310.KQ
604,아이큐어,175250.KQ
605,아이크래프트,052460.KQ
606,알에스오토메이션,140670.KQ
607,액트,131400.KQ
608,에스디생명공학,217480.KQ
609,에스모 머티리얼즈,087730.KQ
610,에스앤씨엔진그룹,900080.KQ
611,에스텍파마,041910.KQ
612,에이비프로바이오,195990.KQ
613,에이스테크,088800.KQ
614,에이씨티,138360.KQ
615,에이치엔티,176440.KQ
616,에이치엘사이언스,239610.KQ
617,에이티세미콘,089530.KQ
618,에이팩트,200470.KQ
619,에이프로젠 H&G,109960.KQ
620,에코플라스틱,038110.KQ
621,에프알텍,073540.KQ
622,엑사이엔씨,054940.KQ
623,엔브이에이치코리아,067570.KQ
624,엔에스,217820.KQ
625,엔피디,198080.KQ
626,엘오티베큠,083310.KQ
627,엠플러스,259630.KQ
628,연이정보통신,090740.KQ
629,예스24,053280.KQ
630,오가닉티코스메틱,900300.KQ
631,옵트론텍,082210.KQ
632,옵티팜,153710.KQ
633,와이솔,122990.KQ
634,와이아이케이,232140.KQ
635,와이오엠,066430.KQ
636,우노앤컴퍼니,114630.KQ
637,우리산업홀딩스,072470.KQ
638,우림기계,101170.KQ
639,우양,103840.KQ
640,원익,032940.KQ
641,유성티엔에스,024800.KQ
642,유에스티,263770.KQ
643,이노인스트루먼트,215790.KQ
644,이녹스,088390.KQ
645,이루온,065440.KQ
646,이엘케이,094190.KQ
647,이엘피,063760.KQ
648,이트론,096040.KQ
649,인터로조,119610.KQ
650,인터파크,108790.KQ
651,인터플렉스,051370.KQ
652,일야,058450.KQ
653,잉글우드랩,950140.KQ
654,자이글,234920.KQ
655,전파기지국,065530.KQ
656,제너셈,217190.KQ
657,제넨바이오,072520.KQ
658,제노레이,122310.KQ
659,제룡전기,033100.KQ
660,조광ILI,044060.KQ
661,체리부로,066360.KQ
662,칩스앤미디어,094360.KQ
663,컴퍼니케이,307930.KQ
664,케이사인,192250.KQ
665,케이씨에스,115500.KQ
666,케이씨티,089150.KQ
667,케이아이엔엑스,093320.KQ
668,켐온,217600.KQ
669,코드네이처,078940.KQ
